Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,District,Municipal
6,GANDAMALLA SARITHA,IND,5,,Medchal-Makchalgili,PreezadigudaMC
7,PAMUKUNTLA SATTAMMA,IND,118,,Medchal-Makchalgili,PreezadigudaMC
8,BOGGARAPU SARAMMA,IND,52,,Medchal-Makchalgili,PreezadigudaMC
9,MOTHUKURI USHA,IND,50,,Medchal-Makchalgili,PreezadigudaMC
10,YASARAM ANJAMMA,IND,305,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 5 , Reserved for : BC(W), Total Voters in Municipality Ward : 2326 , Total Vaild Votes : 1752 , Rejected Votes : 7 , NOTA Votes : 5",,,,,Medchal-Makchalgili,PreezadigudaMC
1,DUBBAKA SWATHI,TRS,331,,Medchal-Makchalgili,PreezadigudaMC
2,BODIGE LAXMI,INC,576,,Medchal-Makchalgili,PreezadigudaMC
3,VARIKUPPALA SARASWATHI,BJP,37,,Medchal-Makchalgili,PreezadigudaMC
4,PARAMESHWARI MALKAPURAM,IND,23,,Medchal-Makchalgili,PreezadigudaMC
5,BODIGE SWATHI GOUD,IND,785,Elected,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 6 , Reserved for : SC(G), Total Voters in Municipality Ward : 2611 , Total Vaild Votes : 1872 , Rejected Votes : 26 , NOTA Votes : 11",,,,,Medchal-Makchalgili,PreezadigudaMC
1,KOLTHURI SAI KUMAR,TRS,564,,Medchal-Makchalgili,PreezadigudaMC
2,KOLTHURI MAHESH,INC,973,Elected,Medchal-Makchalgili,PreezadigudaMC
3,RAJASHEKHAR BAKARAM,BJP,62,,Medchal-Makchalgili,PreezadigudaMC
4,KOLTHURI KUMAR,IND,244,,Medchal-Makchalgili,PreezadigudaMC
5,VANGURI PARMESH,IND,29,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 2259 , Total Vaild Votes : 1408 , Rejected Votes : 24 , NOTA Votes : 10",,,,,Medchal-Makchalgili,PreezadigudaMC
1,VUPPU PADMAVATHI,BJP,51,,Medchal-Makchalgili,PreezadigudaMC
2,CHERUKU MAMATHA,TRS,482,,Medchal-Makchalgili,PreezadigudaMC
3,CHANDRAKALA MADUGULA,IND,555,Elected,Medchal-Makchalgili,PreezadigudaMC
4,PANUGANTI MANASA,IND,320,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 8 , Reserved for : UR(W), Total Voters in Municipality Ward : 2236 , Total Vaild Votes : 1498 , Rejected Votes : 5 , NOTA Votes : 8",,,,,Medchal-Makchalgili,PreezadigudaMC
1,MADDELA PADMASREE,INC,181,,Medchal-Makchalgili,PreezadigudaMC
2,RUPA.M,BJP,108,,Medchal-Makchalgili,PreezadigudaMC
3,LETHAKULA MADHAVI,TRS,489,Elected,Medchal-Makchalgili,PreezadigudaMC
4,ERRA NAVITHA,IND,351,,Medchal-Makchalgili,PreezadigudaMC
5,SANGINENI KALPANA,IND,369,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 9 , Reserved for : BC(G), Total Voters in Municipality Ward : 2316 , Total Vaild Votes : 1544 , Rejected Votes : 13 , NOTA Votes : 9",,,,,Medchal-Makchalgili,PreezadigudaMC
1,JANGA CHARY NAROJU,INC,419,,Medchal-Makchalgili,PreezadigudaMC
2,NOMULA NAVEEN,BJP,412,,Medchal-Makchalgili,PreezadigudaMC
3,BACHA RAJU,TRS,516,Elected,Medchal-Makchalgili,PreezadigudaMC
4,PUTTA LAXMAN,IND,197,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 10 , Reserved for : BC(W), Total Voters in Municipality Ward : 2477 , Total Vaild Votes : 1537 , Rejected Votes : 10 , NOTA Votes : 34",,,,,Medchal-Makchalgili,PreezadigudaMC
1,BEVARA SUJATHA,BJP,120,,Medchal-Makchalgili,PreezadigudaMC
2,LATHASRI KAVIDA,INC,701,,Medchal-Makchalgili,PreezadigudaMC
3,VEERAMALLA SUMALATHA,TRS,716,Elected,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 11 , Reserved for : UR(G), Total Voters in Municipality Ward : 2214 , Total Vaild Votes : 1404 , Rejected Votes : 7 , NOTA Votes : 7",,,,,Medchal-Makchalgili,PreezadigudaMC
1,KANDI RANJITH KUMAR REDDY,INC,66,,Medchal-Makchalgili,PreezadigudaMC
2,MADDI YUGENDER REDDY,TRS,611,Elected,Medchal-Makchalgili,PreezadigudaMC
3,MADDURI CHITTARANJAN REDDY,BJP,103,,Medchal-Makchalgili,PreezadigudaMC
4,GOPU UMARANI,IND,38,,Medchal-Makchalgili,PreezadigudaMC
5,DARGA SUDHAKAR REDDY,IND,586,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 12 , Reserved for : BC(G), Total Voters in Municipality Ward : 2393 , Total Vaild Votes : 1467 , Rejected Votes : 4 , NOTA Votes : 13",,,,,Medchal-Makchalgili,PreezadigudaMC
1,AMAR SINGH,TRS,1097,Elected,Medchal-Makchalgili,PreezadigudaMC
2,KESHAVA NADHAM GOUD VEMULA,INC,276,,Medchal-Makchalgili,PreezadigudaMC
3,CHINTHAKINDI DIVYAVANI,TJSP,29,,Medchal-Makchalgili,PreezadigudaMC
4,MUKKAMULA NAGARAJU,IND,65,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 13 , Reserved for : UR(W), Total Voters in Municipality Ward : 2305 , Total Vaild Votes : 1415 , Rejected Votes : 1 , NOTA Votes : 7",,,,,Medchal-Makchalgili,PreezadigudaMC
1,KALLURI LELAVATHI,INC,110,,Medchal-Makchalgili,PreezadigudaMC
2,TUMUKUNTLA PRASANNA LAXMI,BJP,664,Elected,Medchal-Makchalgili,PreezadigudaMC
3,BODAPATLA VASANTHA,TRS,575,,Medchal-Makchalgili,PreezadigudaMC
4,PANNALA VIJAYA,IND,66,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 14 , Reserved for : UR(W), Total Voters in Municipality Ward : 2397 , Total Vaild Votes : 1527 , Rejected Votes : 8 , NOTA Votes : 7",,,,,Medchal-Makchalgili,PreezadigudaMC
1,TULLA LATHA,BJP,269,,Medchal-Makchalgili,PreezadigudaMC
2,DEEPIKA RANI PARUNANDI,TDP,11,,Medchal-Makchalgili,PreezadigudaMC
3,PANNALA KAVITHA,INC,394,,Medchal-Makchalgili,PreezadigudaMC
4,PASHAM SHASHIREKHA,TRS,844,Elected,Medchal-Makchalgili,PreezadigudaMC
5,TANDA PUSHPA,IND,9,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 15 , Reserved for : UR(W), Total Voters in Municipality Ward : 2274 , Total Vaild Votes : 1555 , Rejected Votes : 13 , NOTA Votes : 3",,,,,Medchal-Makchalgili,PreezadigudaMC
1,CHERUKU SHILPA,TRS,368,,Medchal-Makchalgili,PreezadigudaMC
2,TURAKA LAXMI,TDP,9,,Medchal-Makchalgili,PreezadigudaMC
3,PANGA JYOTHI,BJP,109,,Medchal-Makchalgili,PreezadigudaMC
4,BANDARI MANJULA,INC,595,Elected,Medchal-Makchalgili,PreezadigudaMC
5,UPPARI PADMA,IND,269,,Medchal-Makchalgili,PreezadigudaMC
6,KATAPAKA SHAILAJA,IND,120,,Medchal-Makchalgili,PreezadigudaMC
7,BALAMANI KARNAM,IND,85,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 16 , Reserved for : BC(W), Total Voters in Municipality Ward : 2346 , Total Vaild Votes : 1456 , Rejected Votes : 12 , NOTA Votes : 13",,,,,Medchal-Makchalgili,PreezadigudaMC
1,BANDI RAMYA,TRS,871,Elected,Medchal-Makchalgili,PreezadigudaMC
2,T.RAMESHWARAMMA,INC,176,,Medchal-Makchalgili,PreezadigudaMC
3,RAMPALLY MADHAVI,BJP,409,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 17 , Reserved for : BC(G), Total Voters in Municipality Ward : 2557 , Total Vaild Votes : 1624 , Rejected Votes : 14 , NOTA Votes : 12",,,,,Medchal-Makchalgili,PreezadigudaMC
1,KURRA SHIVA KUMAR GOUD,TRS,942,Elected,Medchal-Makchalgili,PreezadigudaMC
2,RAVI THUNGATURTHI,INC,547,,Medchal-Makchalgili,PreezadigudaMC
3,SAI PRASAD BANDLA,BJP,135,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 18 , Reserved for : BC(W), Total Voters in Municipality Ward : 2238 , Total Vaild Votes : 1334 , Rejected Votes : 20 , NOTA Votes : 29",,,,,Medchal-Makchalgili,PreezadigudaMC
1,KURRA SHALINI,TRS,937,Elected,Medchal-Makchalgili,PreezadigudaMC
2,BANDI MAMATHA,BJP,397,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 19 , Reserved for : BC(W), Total Voters in Municipality Ward : 2362 , Total Vaild Votes : 1569 , Rejected Votes : 28 , NOTA Votes : 15",,,,,Medchal-Makchalgili,PreezadigudaMC
1,JOGU NARSAMMA,INC,48,,Medchal-Makchalgili,PreezadigudaMC
2,BANDI LATHA,TRS,718,,Medchal-Makchalgili,PreezadigudaMC
3,ALUWALA SARITHA,IND,803,Elected,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : Ward - 20 , Reserved for : BC(G), Total Voters in Municipality Ward : 2472 , Total Vaild Votes : 1618 , Rejected Votes : 15 , NOTA Votes : 10",,,,,Medchal-Makchalgili,PreezadigudaMC
1,KOUDE POCHAIAH,INC,804,Elected,Medchal-Makchalgili,PreezadigudaMC
2,BOGA RAMACHANDRAM,BJP,132,,Medchal-Makchalgili,PreezadigudaMC
3,BANDI SREENIVAS GOUD,TRS,682,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : 21 , Reserved for : BC(G), Total Voters in Municipality Ward : 2512 , Total Vaild Votes : 1439 , Rejected Votes : 7 , NOTA Votes : 8",,,,,Medchal-Makchalgili,PreezadigudaMC
1,BANDIRALLA MANJULA,INC,118,,Medchal-Makchalgili,PreezadigudaMC
2,MALLIKARJUNA DEVARA,TRS,405,,Medchal-Makchalgili,PreezadigudaMC
3,RANGA SAILU,BJP,360,,Medchal-Makchalgili,PreezadigudaMC
4,PITTALA MALLESH,IND,468,Elected,Medchal-Makchalgili,PreezadigudaMC
5,SIRIPURAM SARVESHWAR,IND,65,,Medchal-Makchalgili,PreezadigudaMC
6,SUDHAKAR POGAKU,IND,23,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : 22 , Reserved for : UR(G), Total Voters in Municipality Ward : 2288 , Total Vaild Votes : 1279 , Rejected Votes : 3 , NOTA Votes : 7",,,,,Medchal-Makchalgili,PreezadigudaMC
1,PRABHAKAR REDDY VANGETI,INC,446,,Medchal-Makchalgili,PreezadigudaMC
2,BHEEMREDDY NAVEEN REDDY,TRS,700,Elected,Medchal-Makchalgili,PreezadigudaMC
3,BHEEMREDDY PRAVEEN KUMAR,BJP,133,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : 23 , Reserved for : UR(G), Total Voters in Municipality Ward : 2280 , Total Vaild Votes : 1499 , Rejected Votes : 8 , NOTA Votes : 5",,,,,Medchal-Makchalgili,PreezadigudaMC
1,PALLA BHASKAR REDDY,TRS,118,,Medchal-Makchalgili,PreezadigudaMC
2,BUTTAMGARI MAHENDAR REDDY,INC,284,,Medchal-Makchalgili,PreezadigudaMC
3,SADAGONDA KARUNAKAR REDDY,BJP,264,,Medchal-Makchalgili,PreezadigudaMC
4,NARELLEPALLI MADHUSUDHAN REDDY,IND,833,Elected,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : 24 , Reserved for : UR(G), Total Voters in Municipality Ward : 2353 , Total Vaild Votes : 1380 , Rejected Votes : 10 , NOTA Votes : 17",,,,,Medchal-Makchalgili,PreezadigudaMC
1,MAMIDI VENKATESHAM,BJP,490,,Medchal-Makchalgili,PreezadigudaMC
2,Y.Anantha Reddy,TRS,857,Elected,Medchal-Makchalgili,PreezadigudaMC
3,ANGAR RADHAKRISHNA GOUD,IND,33,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : 25 , Reserved for : UR(G), Total Voters in Municipality Ward : 2219 , Total Vaild Votes : 1274 , Rejected Votes : 7 , NOTA Votes : 10",,,,,Medchal-Makchalgili,PreezadigudaMC
1,DONTHIRI HARI SHANKAR REDDY,TRS,654,Elected,Medchal-Makchalgili,PreezadigudaMC
2,MIRUPATHI JAIPAL REDDY,BJP,583,,Medchal-Makchalgili,PreezadigudaMC
3,RAGI VEERAMANI,IND,37,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : 26 , Reserved for : UR(W), Total Voters in Municipality Ward : 2476 , Total Vaild Votes : 1395 , Rejected Votes : 9 , NOTA Votes : 8",,,,,Medchal-Makchalgili,PreezadigudaMC
1,NALLA SHARVANI REDDY,BJP,91,,Medchal-Makchalgili,PreezadigudaMC
2,PAPPULA SWATHI,INC,81,,Medchal-Makchalgili,PreezadigudaMC
3,RAJESHWARI PAPPULA,TRS,923,Elected,Medchal-Makchalgili,PreezadigudaMC
4,N.SRUJANA,IND,300,,Medchal-Makchalgili,PreezadigudaMC
"WARD Name : 1 , Reserved for : BC(G), Total Voters in Municipality Ward : 1714 , Total Vaild Votes : 1492 , Rejected Votes : 20 , NOTA Votes : 6",,,,,Medchal-Makchalgili,Pocharam
1,GONGALLA MAHESH,BJP,847,Elected,Medchal-Makchalgili,Pocharam
2,GONGALLA BALA MALLESH,TRS,645,,Medchal-Makchalgili,Pocharam
"WARD Name : 2 , Reserved for : BC(W), Total Voters in Municipality Ward : 1365 , Total Vaild Votes : 1206 , Rejected Votes : 5 , NOTA Votes : 2",,,,,Medchal-Makchalgili,Pocharam
1,POLAGONI SHESHIRAKA,INC,347,,Medchal-Makchalgili,Pocharam
2,POLAGONI RAJESHWARI,IND,179,,Medchal-Makchalgili,Pocharam
3,POLAGOUNI SABITHA,IND,223,,Medchal-Makchalgili,Pocharam
4,REGU SARITHA,BJP,87,,Medchal-Makchalgili,Pocharam
5,DANALAXMI NARRI,TRS,370,Elected,Medchal-Makchalgili,Pocharam
"WARD Name : 3 , Reserved for : SC(G), Total Voters in Municipality Ward : 1286 , Total Vaild Votes : 869 , Rejected Votes : 19 , NOTA Votes : 4",,,,,Medchal-Makchalgili,Pocharam
1,RAVULA SRIKANTH,INC,36,,Medchal-Makchalgili,Pocharam
2,CHINTHALA RAJASHEKAR,TRS,478,Elected,Medchal-Makchalgili,Pocharam
3,PATHEPU PANDU RAJU,BJP,126,,Medchal-Makchalgili,Pocharam
4,MEESALA SRIRAMULU,IND,229,,Medchal-Makchalgili,Pocharam
"WARD Name : 4 , Reserved for : ST(G), Total Voters in Municipality Ward : 1240 , Total Vaild Votes : 979 , Rejected Votes : 33 , NOTA Votes : 0",,,,,Medchal-Makchalgili,Pocharam
1,DHARAWATH THAVURIA,BJP,426,,Medchal-Makchalgili,Pocharam
2,NANAVATH REDDIYA,TRS,553,Elected,Medchal-Makchalgili,Pocharam
"WARD Name : 5 , Reserved for : UR(G), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Medchal-Makchalgili,Pocharam
1,KONDAL REDDY BOYAPALLY,TRS,0,Unanimous ,Medchal-Makchalgili,Pocharam
"WARD Name : 6 , Reserved for : UR(G), Total Voters in Municipality Ward : 1307 , Total Vaild Votes : 696 , Rejected Votes : 17 , NOTA Votes : 3",,,,,Medchal-Makchalgili,Pocharam
1,SINGIREDDY SAI REDDY,TRS,396,Elected,Medchal-Makchalgili,Pocharam
2,ETIKALA SARITHA,IND,112,,Medchal-Makchalgili,Pocharam
3,UPENDER MOKKA,IND,19,,Medchal-Makchalgili,Pocharam
4,SK ANAVAR PASHA,CPI,20,,Medchal-Makchalgili,Pocharam
5,BATTULA PRABHAKAR,IND,13,,Medchal-Makchalgili,Pocharam
6,JAYADEV VISHWA,BJP,63,,Medchal-Makchalgili,Pocharam
7,KONDAM SURESH REDDY,INC,73,,Medchal-Makchalgili,Pocharam
"WARD Name : 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 1234 , Total Vaild Votes : 863 , Rejected Votes : 9 , NOTA Votes : 5",,,,,Medchal-Makchalgili,Pocharam
1,AKITI SHAILAJA,IND,302,Elected,Medchal-Makchalgili,Pocharam
2,KOMMIDI CHANDRAKALA,IND,50,,Medchal-Makchalgili,Pocharam
3,B SWARUPA,BJP,23,,Medchal-Makchalgili,Pocharam
4,VALUPADASU PADMA,INC,13,,Medchal-Makchalgili,Pocharam
5,MURAGUNDLU JAYALALITHA,IND,5,,Medchal-Makchalgili,Pocharam
6,CHALAGONI ARUNA,CPM,21,,Medchal-Makchalgili,Pocharam
7,VULLEMGALA MADHURAVATHY,IND,203,,Medchal-Makchalgili,Pocharam
8,RASAMALLA VIMALA,TRS,246,,Medchal-Makchalgili,Pocharam
"WARD Name : 8 , Reserved for : BC(W), Total Voters in Municipality Ward : 1237 , Total Vaild Votes : 869 , Rejected Votes : 15 , NOTA Votes : 0",,,,,Medchal-Makchalgili,Pocharam
1,PAYYAVULA LAXMI,TRS,152,,Medchal-Makchalgili,Pocharam
2,ANITHA V,INC,200,,Medchal-Makchalgili,Pocharam
3,K MAHESHWARI,BJP,4,,Medchal-Makchalgili,Pocharam
4,B HIMA,IND,513,Elected,Medchal-Makchalgili,Pocharam
"WARD Name : 9 , Reserved for : UR(G), Total Voters in Municipality Ward : 1267 , Total Vaild Votes : 869 , Rejected Votes : 15 , NOTA Votes : 3",,,,,Medchal-Makchalgili,Pocharam
1,VANGALA LAKSHMI,IND,32,,Medchal-Makchalgili,Pocharam
2,UBBARI SAMBA RAJU,IND,10,,Medchal-Makchalgili,Pocharam
3,METTU BAL REDDY,TRS,517,Elected,Medchal-Makchalgili,Pocharam
4,SARAGANDLA RAMESH KUMAR,IND,203,,Medchal-Makchalgili,Pocharam
5,JAIDEVAM AJAY YADAV,BJP,91,,Medchal-Makchalgili,Pocharam
6,G RAMESH GOUD,INC,16,,Medchal-Makchalgili,Pocharam
"WARD Name : 10 , Reserved for : BC(G), Total Voters in Municipality Ward : 1306 , Total Vaild Votes : 878 , Rejected Votes : 9 , NOTA Votes : 8",,,,,Medchal-Makchalgili,Pocharam
1,BALAGONI VENKATESH GOUD,TRS,801,Elected,Medchal-Makchalgili,Pocharam
2,PALAPU RAMESH,INC,22,,Medchal-Makchalgili,Pocharam
3,GOKARAM ANJANEYULU,IND,36,,Medchal-Makchalgili,Pocharam
4,BHARATHI DANDE,BJP,19,,Medchal-Makchalgili,Pocharam
"WARD Name : 11 , Reserved for : UR(W), Total Voters in Municipality Ward : 1277 , Total Vaild Votes : 1089 , Rejected Votes : 14 , NOTA Votes : 3",,,,,Medchal-Makchalgili,Pocharam
1,NALLAVELLI LAKSHMI,TRS,545,Elected,Medchal-Makchalgili,Pocharam
2,S. KUSUMA REDDY,INC,544,,Medchal-Makchalgili,Pocharam
"WARD Name : 12 , Reserved for : UR(G), Total Voters in Municipality Ward : 1353 , Total Vaild Votes : 576 , Rejected Votes : 0 , NOTA Votes : 6",,,,,Medchal-Makchalgili,Pocharam
1,ACHYUTHA RAO K,IND,43,,Medchal-Makchalgili,Pocharam
2,BEJJANKI HARI PRASAD RAO,TRS,291,Elected,Medchal-Makchalgili,Pocharam
3,METTU NARASIMHA REDDY,BJP,242,,Medchal-Makchalgili,Pocharam
"WARD Name : 13 , Reserved for : UR(W), Total Voters in Municipality Ward : 1434 , Total Vaild Votes : 864 , Rejected Votes : 5 , NOTA Votes : 7",,,,,Medchal-Makchalgili,Pocharam
1,JYOTHI DUGGIRALA,IND,11,,Medchal-Makchalgili,Pocharam
2,SAMALA SHREELATHA,TRS,544,Elected,Medchal-Makchalgili,Pocharam
3,BADDAM UMA,INC,288,,Medchal-Makchalgili,Pocharam
4,CHAMAKURI VIJAYA LAKSHMI,BJP,21,,Medchal-Makchalgili,Pocharam
"WARD Name : 14 , Reserved for : BC(G), Total Voters in Municipality Ward : 1412 , Total Vaild Votes : 845 , Rejected Votes : 2 , NOTA Votes : 2",,,,,Medchal-Makchalgili,Pocharam
1,SURVI RAVINDER,IND,474,Elected,Medchal-Makchalgili,Pocharam
2,PALLE MADHAVI,TRS,339,,Medchal-Makchalgili,Pocharam
3,KONDAKALLA NARESH KUMAR,BJP,32,,Medchal-Makchalgili,Pocharam
"WARD Name : 15 , Reserved for : UR(W), Total Voters in Municipality Ward : 1368 , Total Vaild Votes : 902 , Rejected Votes : 10 , NOTA Votes : 3",,,,,Medchal-Makchalgili,Pocharam
1,ABBAVATHINI SARITHA,INC,538,Elected,Medchal-Makchalgili,Pocharam
2,SUDDAPALLI BALAMMA,TRS,364,,Medchal-Makchalgili,Pocharam
"WARD Name : 16 , Reserved for : SC(W), Total Voters in Municipality Ward : 1424 , Total Vaild Votes : 1072 , Rejected Votes : 12 , NOTA Votes : 1",,,,,Medchal-Makchalgili,Pocharam
1,MOTUPALLI POCHAMMA,TRS,483,Elected,Medchal-Makchalgili,Pocharam
2,LASYA MOTHUPALLY,AIMIM,455,,Medchal-Makchalgili,Pocharam
3,ARRA MADHAVI,INC,134,,Medchal-Makchalgili,Pocharam
"WARD Name : 17 , Reserved for : BC(W), Total Voters in Municipality Ward : 1493 , Total Vaild Votes : 984 , Rejected Votes : 14 , NOTA Votes : 4",,,,,Medchal-Makchalgili,Pocharam
1,ROUTHU DHANALAKSHMI,TRS,382,,Medchal-Makchalgili,Pocharam
2,SURVI SUDHA LAKSHMI,IND,602,Elected,Medchal-Makchalgili,Pocharam
"WARD Name : 18 , Reserved for : UR(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Medchal-Makchalgili,Pocharam
1,BADDAM MAMATHA RANI,TRS,0,Unanimous ,Medchal-Makchalgili,Pocharam
"WARD Name : 20 , Reserved for : --, Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Medchal-Makchalgili,Pocharam
"WARD Name : 1 , Reserved for : UR(W), Total Voters in Municipality Ward : 3545 , Total Vaild Votes : 1648 , Rejected Votes : 13 , NOTA Votes : 14",,,,,Medchal-Makchalgili,NizampetMC
1,KOLAN NEERAJA,BJP,474,,Medchal-Makchalgili,NizampetMC
2,VIJAYA LAKSHMI MANNEM,TRS,730,Elected,Medchal-Makchalgili,NizampetMC
3,SARITHA KODURU,INC,44,,Medchal-Makchalgili,NizampetMC
4,MURTHY SUNITHA,IND,400,,Medchal-Makchalgili,NizampetMC
"WARD Name : 2 , Reserved for : BC(G), Total Voters in Municipality Ward : 3014 , Total Vaild Votes : 828 , Rejected Votes : 4 , NOTA Votes : 14",,,,,Medchal-Makchalgili,NizampetMC
1,DIVAKER CHITLA,TRS,425,Elected,Medchal-Makchalgili,NizampetMC
2,SATYANARAYANA KORAPU,BJP,111,,Medchal-Makchalgili,NizampetMC
3,SURAGANI VEERABABU,INC,49,,Medchal-Makchalgili,NizampetMC
4,GANNOJU VENKATRAJAM,IND,243,,Medchal-Makchalgili,NizampetMC
5,NALLAGATLA BHASKARA CHARI,IND,0,,Medchal-Makchalgili,NizampetMC
"WARD Name : 3 , Reserved for : BC(G), Total Voters in Municipality Ward : 3038 , Total Vaild Votes : 922 , Rejected Votes : 1 , NOTA Votes : 9",,,,,Medchal-Makchalgili,NizampetMC
1,CHOWTA YADAGIRI GOUD,TRS,247,,Medchal-Makchalgili,NizampetMC
2,MENDI SURESH KUMAR,INC,40,,Medchal-Makchalgili,NizampetMC
3,G SRINIVAS,BJP,104,,Medchal-Makchalgili,NizampetMC
4,VALUPADASU RAMESH,IND,100,,Medchal-Makchalgili,NizampetMC
5,VENKATA RAMAIAH BALUSUPATI,IND,431,Elected,Medchal-Makchalgili,NizampetMC
"WARD Name : 4 , Reserved for : BC(G), Total Voters in Municipality Ward : 3108 , Total Vaild Votes : 1009 , Rejected Votes : 2 , NOTA Votes : 8",,,,,Medchal-Makchalgili,NizampetMC
1,J.NAGESH,TDP,197,,Medchal-Makchalgili,NizampetMC
2,PUNZURI NARSAIAH,TRS,226,,Medchal-Makchalgili,NizampetMC
3,BADUGU VENKATESHWARLU,INC,39,,Medchal-Makchalgili,NizampetMC
4,SATHISH AKULA,BJP,176,,Medchal-Makchalgili,NizampetMC
5,R.NIKHIL,IND,11,,Medchal-Makchalgili,NizampetMC
6,SREE RAMULU RENUKUNTLA,IND,360,Elected,Medchal-Makchalgili,NizampetMC
"WARD Name : 5 , Reserved for : UR(G), Total Voters in Municipality Ward : 3048 , Total Vaild Votes : 1322 , Rejected Votes : 8 , NOTA Votes : 10",,,,,Medchal-Makchalgili,NizampetMC
1,KIRAN KUMAR TALASILA,TDP,63,,Medchal-Makchalgili,NizampetMC
2,CHALLA INDRAJITH REDDY,TRS,496,Elected,Medchal-Makchalgili,NizampetMC
3,PASUPULETI ARAVINDA,INC,18,,Medchal-Makchalgili,NizampetMC
4,Dr.M.R.S RAJU,BJP,171,,Medchal-Makchalgili,NizampetMC
5,ALLAM RAJU VENKATA RAMANA MURTHY,IND,2,,Medchal-Makchalgili,NizampetMC
6,ALLURI LAKSHMI PATHI RAJU,IND,20,,Medchal-Makchalgili,NizampetMC
7,KOPPULA SANJEEVA RAO,IND,27,,Medchal-Makchalgili,NizampetMC
8,C.CHANDRA SEKHAR,IND,5,,Medchal-Makchalgili,NizampetMC
9,DAYAKAR REDDY DUBBAKA,IND,488,,Medchal-Makchalgili,NizampetMC
10,SYED RAFATH,IND,32,,Medchal-Makchalgili,NizampetMC
"WARD Name : 6 , Reserved for : BC(W), Total Voters in Municipality Ward : 3046 , Total Vaild Votes : 1030 , Rejected Votes : 0 , NOTA Votes : 6",,,,,Medchal-Makchalgili,NizampetMC
1,PALA BINDHU SINDHURI,CPI,7,,Medchal-Makchalgili,NizampetMC
2,BHAVANI YATKHAR,INC,27,,Medchal-Makchalgili,NizampetMC
3,MANDAPAKA JAGADEESHWARI,TRS,300,,Medchal-Makchalgili,NizampetMC
4,Sridevi Mocheral,BJP,82,,Medchal-Makchalgili,NizampetMC
5,J.HEMA,TDP,119,,Medchal-Makchalgili,NizampetMC
6,GANGULA BALA BHARATHI,IND,5,,Medchal-Makchalgili,NizampetMC
7,MARTHA NAGA VENKATA SATHYAVANI,IND,490,Elected,Medchal-Makchalgili,NizampetMC
"WARD Name : 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 3413 , Total Vaild Votes : 1680 , Rejected Votes : 13 , NOTA Votes : 10",,,,,Medchal-Makchalgili,NizampetMC
1,CHUNDURI ANJALI,TDP,143,,Medchal-Makchalgili,NizampetMC
2,NEERAJA ANUGULA,BJP,134,,Medchal-Makchalgili,NizampetMC
3,SHANIGALA PRANAYA,TRS,827,Elected,Medchal-Makchalgili,NizampetMC
4,AKHILA ANUGULA,IND,571,,Medchal-Makchalgili,NizampetMC
5,B SUSHLEELADEVI,IND,2,,Medchal-Makchalgili,NizampetMC
6,SUHASINI SAKTHIVEL,IND,3,,Medchal-Makchalgili,NizampetMC
"WARD Name : 8 , Reserved for : UR(G), Total Voters in Municipality Ward : 3297 , Total Vaild Votes : 1339 , Rejected Votes : 8 , NOTA Votes : 6",,,,,Medchal-Makchalgili,NizampetMC
1,CHANDRA VENKATESWARA RAO,TDP,251,,Medchal-Makchalgili,NizampetMC
2,SAMRAJYALAKSHMI NALLAMALLI,BJP,139,,Medchal-Makchalgili,NizampetMC
3,Suresh Kumar Reddy Vutukuru,TRS,483,Elected,Medchal-Makchalgili,NizampetMC
4,Ganji Srikanth,IND,207,,Medchal-Makchalgili,NizampetMC
